line-1 sus-1.67%:     gen_flush_cc_op(s);

line-2 sus-1.37%:     gen_jmp_im(s, where);

line-3 sus-0.48%:     gen_helper_raise_exception(tcg_const_i32(nr));

line-7 sus-1.29%:     gen_exception(s, s->insn_pc, EXCP_ADDRESS);

line-10 sus-2.65%:     result = gen_ea(s, insn, opsize, NULL_QREG, addrp, op_sign ? EA_LOADS : EA_LOADU); \

line-11 sus-0.09%:     if (IS_NULL_QREG(result)) { \

line-12 sus-4.63%:         gen_addr_fault(s); \

line-13 sus-1.55%:         return; \

line-14 sus-12.84%:     } \

line-15 sus-1.68%:     } while (0)

line-17 sus-1.22%:     TCGv ea_result = gen_ea(s, insn, opsize, val, addrp, EA_STORE); \

line-18 sus-8.2%:     if (IS_NULL_QREG(ea_result)) { \

line-19 sus-4.34%:         gen_addr_fault(s); \

line-20 sus-8.34%:         return; \

line-21 sus-6.82%:     } \

line-22 sus-1.54%:     } while (0)

line-26 sus-2.53%:     tb = s->tb;

line-27 sus-1.57%:     if (unlikely(s->singlestep_enabled)) {

line-28 sus-2.55%:         gen_exception(s, dest, EXCP_DEBUG);

line-29 sus-1.54%:     } else if ((tb->pc & TARGET_PAGE_MASK) == (dest & TARGET_PAGE_MASK) ||

line-30 sus-1.79%:                (s->pc & TARGET_PAGE_MASK) == (dest & TARGET_PAGE_MASK)) {

line-31 sus-3.03%:         tcg_gen_goto_tb(n);

line-32 sus-6.14%:         tcg_gen_movi_i32(QREG_PC, dest);

line-33 sus-3.36%:         tcg_gen_exit_tb((long)tb + n);

line-34 sus-5.74%:     } else {

line-35 sus-0.7%:         gen_jmp_im(s, dest);

line-36 sus-7.47%:         tcg_gen_exit_tb(0);

line-38 sus-1.08%:     s->is_jmp = DISAS_TB_JUMP;

line-41 sus-6.59%: DISAS_INSN(undef_mac)

line-43 sus-0.24%:     gen_exception(s, s->pc - 2, EXCP_LINEA);

line-46 sus-3.98%: DISAS_INSN(undef_fpu)

line-48 sus-1.02%:     gen_exception(s, s->pc - 2, EXCP_LINEF);

line-51 sus-2.81%: DISAS_INSN(undef)

line-53 sus-2.45%:     gen_exception(s, s->pc - 2, EXCP_UNSUPPORTED);

line-54 sus-1.63%:     cpu_abort(cpu_single_env, "Illegal instruction: %04x @ %08x",

line-55 sus-2.65%:               insn, s->pc - 2);

